Obedecer 	Abide	Abode/Abided	Abode/Abided/Abidden
Talhar 	Hew	Hewed	Hewn
Reduzir 	Hew	Hewed	Hewn
Esconder 	Hide	Hid	Hidden
Bater 	Hit	Hit	Hit
Chocar-se 	Hit	Hit	Hit
Segurar 	Hold	Held	Held
Machucar 	Hurt	Hurt	Hurt
Doer 	Hurt	Hurt	Hurt
Cruzar 	Inbreed	Inbred	Inbred
Enquadrar 	Inlay	Inlaid	Inlaid
Inserir 	Input	Input/Inputted	Input/Inputted
Produzir 	Interbreed	Interbred	Interbred
Trançar 	Interweave	Interwove	Interwoven
Mesclar 	Interweave	Interwove	Interwoven
Manter 	Keep	Kept	Kept
Guardar 	Keep	Kept	Kept
Ajoelhar 	Kneel	Kneeled/Knelt	Kneeled/Knelt
Tricotar 	Knit	Knitted/Knit	Knitted/Knit
Saber 	Know	Knew	Known
Conhecer 	Know	Knew	Known
Carregar 	Lade	Laded	Laden/Laded
Imergir 	Lade	Laded	Laden/Laded
Por 	Lay	Laid	Laid
Colocar 	Lay	Laid	Laid
Liderar 	Lead	Led	Led
Levar 	Lead	Led	Led
Conduzir 	Lead	Led	Led
Apoiar 	Lean	Leaned/Leant	Leaned/Leant
Saltar 	Leap	Leaped/Leapt	Leaped/Leapt
Pular 	Leap	Leaped/Leapt	Leaped/Leapt
Aprender 	Learn	Learnt/Learned	Learnt/Learned
Partir 	Leave	Left	Left
Deixar 	Leave	Left	Left
Emprestar 	Lend	Lent	Lent
Deixar 	Let	Let	Let
Permitir 	Let	Let	Let
Deitar 	Lie	Lay	Lain
Acender 	Light	Lit	Lit
Perder 	Lose	Lost	Lost
Fazer 	Make	Made	Made
Significar 	Mean	Meant	Meant
Encontrar 	Meet	Met	Met
Derreter 	Melt	Melted	Melted/Molten
Enganar 	Miscast	Miscast	Miscast
Mal-dividir 	Misdeal	Misdealt	Misdealt
Trazer  dúvidas	Misgive	Misgave	Misgiven
Mal-escutar 	Mishear	Misheard	Misheard
Perder 	Mislay	Mislaid	Mislaid
Iludir 	Mislead	Misled	Misled
Enganar 	Mislead	Misled	Misled
Ler-errado 	Misread	Misread	Misread
Errar 	Misspell	Misspelt	Misspelt
Esbanjar 	Misspend	Misspent	Misspent
Errar 	Mistake	Mistook	Mistaken
Mal-entender 	Misunderstand	Misunderstood	Misunderstood
Cortar 	Mow	Mowed	Mown
Oferecer 	Outbid	Outbid	Outbid
Ultrapassar 	Outdo	Outdid	Outdone
Livrar-se 	Outgrow	Outgrew	Outgrown
Montar 	Outride	Outrode	Outridden
Ultrapassar 	Outrun	Outran	Outrun
Vender 	Outsell	Outsold	Outsold
Brilhar 	Outshine	Outshone	Outshone
Superar 	Overbear	Overbore	Overborne
Vencer 	Overbear	Overbore	Overborne
Superar 	Overcome	Overcame	Overcome
Exagerar 	Overdo	Overdid	Overdone
Abusar 	Overdo	Overdid	Overdone
Comer 	Overeat	Overate	Overeaten
Ressaltar 	Overhang	Overhung	Overhung
Ouvir 	Overhear	Overheard	Overheard
Cobrir 	Overlay	Overlaid	Overlaid
Saltar 	Overleap	Overleapt/Overleaped	Overleapt/Overleaped
Pagar 	Overpay	Overpaid	Overpaid
Exceder 	Override	Overrode	Overridden
Invadir 	Overrun	Overran	Overridden
Inundar 	Overrun	Overran	Overridden
Fiscalizar 	Oversee	Oversaw	Overseen
Vender 	Oversell	Oversold	Oversold
Errar 	Overshoot	Overshot	Overshot
Dormir 	Oversleep	Overslept	Overslept
Alcançar 	Overtake	Overtook	Overtaken
Finalizar 	Overthrow	Overthrew	Overthrown
Partilhar 	Partake	Partook	Partaken
Pagar 	Pay	Paid	Paid
Alagar 	Plead	Pleaded/Pled	Pleaded/Pled
Defender 	Plead	Pleaded/Pled	Pleaded/Pled
Pré-estabelecer 	Preset	Preset	Preset
Provar 	Prove	Proved	Proved/Proven
Revisar 	Proofread	Proofread	Proofread
Conferir 	Proofread	Proofread	Proofread
Colocar 	Put	Put	Put
Colocar 	Put	Put	Put
Terminar 	Quit	Quit	Quit
Desistir 	Quit	Quit	Quit
Ler 	Read	Read	Read
Amarrar 	Rebind	Rebound	Rebound
Reconstruir 	Rebuild	Rebuilt	Rebuilt
Reformar 	Recast	Recast	Recast
Refazer 	Redo	Redid	Redone
Retransmitir 	Relay	Relaid	Relaid
Refazer 	Remake	Remade	Remade
Rasgar 	Rend	Rent	Rent
Reembolsar 	Repay	Repaid	Repaid
Reprisar 	Rerun	Reran	Rerun
Revender 	Resell	Resold	Resold
Zerar 	Reset	Reset	Reset
Retornar 	Reset	Reset	Reset
Recontar 	Retell	Retold	Retold
Repensar 	Rethink	Rethought	Rethought
Rebobinar 	Rewind	Rewound	Rewound
Reescrever 	Rewrite	Rewrote	Rewritten
Libertar 	Rid	Rid/Ridded	Rid/Ridded
Resgatar 	Rid	Rid/Ridded	Rid/Ridded
Andar 	Ride	Rode	Ridden
Soar 	Ring	Rang	Rung
Tocar 	Ring	Rang	Rung
Levantar 	Rise	Rose	Risen
Fender 	Rive	Rived	Riven/Rived
Rachar 	Rive	Rived	Riven/Rived
Correr 	Run	Ran	Run
Funcionar 	Run	Ran	Run
Serrar 	Saw	Sawed	Sawed/Sawn
Dizer 	Say	Said	Said
Ver 	See	Saw	Seen
Procurar 	Seek	Sought	Sought
Vender 	Sell	Sold	Sold
Enviar 	Send	Sent	Sent
Estabelecer 	Set	Set	Set
Costurar 	Sew	Sewed	Sewed/Sewn
Agitar 	Shake	Shook	Shaken
Barbear 	Shave	Shaved	Shaved/Shaven
Tosar 	Shear	Sheared/Shore	Sheared/Shorn
Tosquiar 	Shear	Sheared/Shore	Sheared/Shorn
Derramar 	Shed	Shed	Shed
Brilhar 	Shine	Shone	Shone
Evacuar 	Shit	Shit/Shat	Shit/Shat
Calçar 	Shoe	Shod	Shod
Atirar 	Shoot	Shot	Shot
Filmar 	Shoot	Shot	Shot
Mostrar 	Show	Showed	Shown
Exibir 	Show	Showed	Shown
Encolher 	Shrink	Shrank	Shrunk
Confessar 	Shrive	Shrove	Shriven
Fechar 	Shut	Shut	Shut
Cantar 	Sing	Sang	Sung
Afundar 	Sink	Sank	Sunk
Afogar 	Sink	Sank	Sunk
Sentar 	Sit	Sat	Sat
Matar 	Slay	Slew	Slain
Dormir 	Sleep	Slept	Slept
Deslizar 	Slide	Slid	Slid/Slidden
Afundar 	Sling	Slung	Slung
Safar-se 	Slink	Slunk	Slunk
Safar 	Slink	Slunk	Slunk
Fugir 	Slink	Slunk	Slunk
Fender 	Slit	Slit	Slit
Rachar 	Slit	Slit	Slit
Cheirar 	Smell	Smelt/Smelled	Smelt/Smelled
Golpear 	Smite	Smote	Smitten
Ferir 	Smite	Smote	Smitten
Semear 	Sow	Sowed	Sown
Espalhar 	Sow	Sowed	Sown
Falar 	Speak	Spoke	Spoken
Apressar-se 	Speed	Sped	Sped
Apressar 	Speed	Sped	Sped
Soletrar 	Spell	Spelt	Spelt
Gastar 	Spend	Spent	Spent
Derramar 	Spill	Spilt	Spilt
Girar 	Spin	Spun/Span	Spun
Cuspir 	Spit	Spat	Spat
Dividir 	Split	Split	Split
Separar 	Split	Split	Split
Mimar 	Spoil	Spoiled/Spoilt	Spoiled/Spoilt
Estragar 	Spoil	Spoiled/Spoilt	Spoiled/Spoilt
Espalhar 	Spread	Spread	Spread
Brotar 	Spring	Sprang	Sprung
Saltar 	Spring	Sprang	Sprung
Ficar 	Stand	Stood	Stood
Despedaçar 	Stave	Stove/Staved	Stove/Staved
Roubar 	Steal	Stole	Stolen
Pregar 	Stick	Stuck	Stuck
Aderir 	Stick	Stuck	Stuck
Picar 	Sting	Stung	Stung
Ferroar 	Sting	Stung	Stung
Feder 	Stink	Stank	Stunk
Espalhar 	Strew	Strewed	Strewed/Strewn
Cavalgar 	Stride	Strode/Strided	Stridden
Golpear 	Strike	Struck	Struck/Stricken
Bater 	Strike	Struck	Struck/Stricken
Amarrar 	String	Strung	Strung
Esforçar-se 	Strive	Strove	Striven
Esforçar 	Strive	Strove	Striven
Queimar 	Sunburn	Sunburned/Sunburnt	Sunburned/Sunburnt
Juarar 	Swear	Swore	Sworn
Varrer 	Sweep	Swept/Sweeped	Swept/Sweeped
Inchar 	Swell	Swelled	Swollen
Nadar 	Swim	Swam	Swum
Balançar 	Swing	Swung	Swung
Pegar 	Take	Took	Taken
Levar 	Take	Took	Taken
Ensinar 	Teach	Taught	Taught
Rasgar 	Tear	Tore	Torn
Lacrimejar 	Tear	Tore	Torn
Dizer 	Tell	Told	Told
Contar 	Tell	Told	Told
Pensar 	Think	Thought	Thought
Achar 	Think	Thought	Thought
Suceder-se 	Thrive	Thrived/Throve	Thrived/Thriven
Suceder 	Thrive	Thrived/Throve	Thrived/Thriven
Arremessar 	Throw	Threw	Thrown
Empurrar 	Thrust	Thrust	Thrust
Pisar 	Tread	Trod	Trodden
Desatar 	Unbend	Unbent	Unbent
Soltar 	Unbind	Unbound	Unbound
Liberar 	Unbind	Unbound	Unbound
Oferecer 	Underbid	Underbid	Underbid/Underbidden
Passar 	Undergo	Underwent	Undergone
Enfrentar 	Undergo	Underwent	Undergone
Apoiar 	Underlie	Underlay	Underlain
Entender 	Understand	Understood	Understood
Tomar 	Undertake	Undertook	Undertaken
Passar 	Undertake	Undertook	Undertaken
Subscrever 	Underwrite	Underwrote	Underwritten
Desfazer 	Undo	Undid	Undone
Liberar 	Unwind	Unwound	Unwound
Desatar 	Unwind	Unwound	Unwound
Sustentar 	Uphold	Upheld	Upheld
Preocupar 	Upset	Upset	Upset
Acordar 	Wake	Woke	Woken
Armar  ciladas	Waylay	Waylaid	Waylaid
Vestir 	Wear	Wore	Worn
Tecer 	Weave	Wove	Woven
Casar 	Wed	Wedded/Wed	Wedded/Wed
Chorar 	Weep	Wept	Wept
Lamentar 	Weep	Wept	Wept
Molhar 	Wet	Wetted/Wet	Wetted/Wet
Vencer 	Win	Won	Won
Girar 	Wind	Wound	Wound
Rodar 	Wind	Wound	Wound
Retroceder 	Withdraw	Withdrew	Withdrawn
Sacar 	Withdraw	Withdrew	Withdrawn
Reter 	Withhold	Withheld	Withheld
Evitar 	Withhold	Withheld	Withheld
Opor-se 	Withstand	Withstood	Withstood
Opor 	Withstand	Withstood	Withstood
Arrancar 	Wring	Wrung	Wrung
Escrever 	Write	Wrote	Written

